keyword_id,keyword,normalized_keyword,topic_cluster,trend_type,report_id,report_publish_date,signal_period_type,signal_period_label,time_granularity,source_scope,priority,confidence,suggested_platforms,query_variants,crawl_goal,risk_flag,notes
KW_0011,昼夜节律护肤,昼夜节律护肤,mechanism_frontier,scenario,RPT_20260413_01,2026-03-10,annual,2026 annual,annual,industry_research,medium,medium,"xiaohongshu|douyin","昼夜节律护肤|节律护肤|压力老化",trend_discovery,low,"从发酵章节案例中提取"
KW_0012,压力老化,压力老化,anti_aging_frontier,scenario,RPT_20260413_01,2026-03-10,annual,2026 annual,annual,industry_research,medium,medium,"xiaohongshu|douyin","压力老化|情绪老化|皮质醇护肤",trend_discovery,low,"适合和睡眠、屏障类话题联动监控"
KW_0013,抖音美妆个护赛道,抖音美妆个护赛道,platform_market,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,high,high,"douyin","抖音美妆个护赛道|抖音美妆个护",market_validation,low,"月报一级主题，适合作平台总监控入口"
KW_0014,护肤,护肤,platform_category,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,high,high,"douyin","护肤|面部护肤",market_validation,low,"月报明确的一级类目"
KW_0015,彩妆,彩妆,platform_category,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,medium,high,"douyin","彩妆|面部彩妆",market_validation,low,"月报明确的一级类目"
KW_0016,个护,个护,platform_category,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,medium,high,"douyin","个护|个护美体",market_validation,low,"月报明确的一级类目"
KW_0017,婴童护理,婴童护理,platform_category,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,medium,high,"douyin","婴童护理|宝宝护肤|宝宝洗浴",market_validation,medium,"月报明确的一级类目"
KW_0018,面部护肤,面部护肤,platform_subcategory,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,high,high,"douyin","面部护肤|护肤",market_validation,low,"月报明确细分品类"
KW_0019,眼部护理,眼部护理,platform_subcategory,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,medium,high,"douyin","眼部护理|眼周护理",market_validation,low,"月报明确细分品类"
KW_0020,唇部护理,唇部护理,platform_subcategory,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,medium,high,"douyin","唇部护理|润唇|唇膜",market_validation,low,"月报明确细分品类"
KW_0021,T区护理,T区护理,platform_subcategory,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,medium,high,"douyin","T区护理|黑头护理|毛孔护理",market_validation,low,"月报明确细分品类"
KW_0022,颈部护理,颈部护理,platform_subcategory,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,medium,high,"douyin","颈部护理|颈纹护理",market_validation,low,"月报明确细分品类"
KW_0023,防晒,防晒,platform_subcategory,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,high,high,"douyin|xiaohongshu","防晒|防晒霜|防晒喷雾",market_validation,medium,"月报明确细分品类，也适合跨平台监控"
KW_0024,男士护肤,男士护肤,platform_subcategory,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,medium,high,"douyin","男士护肤|男士护理",market_validation,low,"月报明确细分品类"
KW_0025,洗发护发,洗发护发,platform_subcategory,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,medium,high,"douyin","洗发护发|洗护",market_validation,low,"月报明确细分品类"
KW_0026,口腔护理,口腔护理,platform_subcategory,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,low,high,"douyin","口腔护理|牙膏|漱口水",market_validation,low,"月报明确细分品类"
KW_0027,身体护理,身体护理,platform_subcategory,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,medium,high,"douyin","身体护理|身体乳|身体精华",market_validation,low,"月报明确细分品类"
KW_0028,身体清洁,身体清洁,platform_subcategory,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,medium,high,"douyin","身体清洁|沐浴露",market_validation,low,"月报明确细分品类"
KW_0029,手部护理,手部护理,platform_subcategory,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,low,high,"douyin","手部护理|护手霜",market_validation,low,"月报明确细分品类"
KW_0030,足部护理,足部护理,platform_subcategory,category,RPT_20260413_03,2026-03-06,monthly,2026-02,monthly,douyin,low,high,"douyin","足部护理|足膜",market_validation,low,"月报明确细分品类"
KW_0031,面部清洁,面部清洁,category_focus,category,RPT_20260413_05,2026-04-02,special_topic,2026-04 special,special_topic,industry_research,high,high,"douyin|xiaohongshu|taobao","面部清洁|洁面|清洁类产品",trend_discovery,low,"专题报告标题可稳定支持"
KW_0032,面部清洁市场洞察,面部清洁市场洞察,category_focus,category,RPT_20260413_05,2026-04-02,special_topic,2026-04 special,special_topic,industry_research,medium,high,"industry_news|douyin","面部清洁市场|洁面市场洞察",market_validation,low,"适合做专题级监控入口"
KW_0033,美妆个护市场消费趋势,美妆个护市场消费趋势,market_consumer_strategy,scenario,RPT_20260413_06,2026-01-26,annual,2025 annual,annual,industry_research,high,high,"industry_news|xiaohongshu","美妆个护消费趋势|市场消费趋势",trend_discovery,low,"标题直接支持"
KW_0034,战略风向,战略风向,market_consumer_strategy,scenario,RPT_20260413_06,2026-01-26,annual,2025 annual,annual,industry_research,medium,high,"industry_news","战略风向|品牌战略风向|品类战略",trend_discovery,low,"适合品牌/市场层监控"
KW_0035,品类分析,品类分析,market_consumer_strategy,category,RPT_20260413_06,2026-01-26,annual,2025 annual,annual,industry_research,medium,medium,"industry_news|douyin","品类分析|类目分析",market_validation,low,"目录页可支持，泛化程度较高"
KW_0036,成分年度盘点,成分年度盘点,ingredient_yearly_review,ingredient,RPT_20260413_07,2026-01-23,annual,2026 annual,annual,industry_research,high,high,"industry_news|xiaohongshu","成分年度盘点|年度成分盘点",trend_discovery,low,"标题直接支持"
KW_0037,2026趋势洞察,2026趋势洞察,ingredient_yearly_review,scenario,RPT_20260413_07,2026-01-23,annual,2026 annual,annual,industry_research,medium,high,"industry_news","2026趋势洞察|2026成分趋势",trend_discovery,low,"标题直接支持"
KW_0038,原料创新,原料创新,ingredient_innovation,ingredient,RPT_20260413_01,2026-03-10,annual,2026 annual,annual,industry_research,high,high,"industry_news|xiaohongshu","原料创新|新原料|化妆品新原料",trend_discovery,low,"原料创新报告总入口词"
KW_0039,热门趋势 vs 科学安全,热门趋势 vs 科学安全,trend_risk_watch,risk_compliance,RPT_20260413_06,2026-01-26,annual,2025 annual,cross_period,industry_research,medium,medium,"xiaohongshu|douyin","热门趋势|科学安全|趋势翻车",risk_monitoring,high,"适合作为风险监控任务簇而不是单一热词"
KW_0040,快速美白,快速美白,claim_risk_watch,claim,RPT_20260413_06,2026-01-26,annual,2025 annual,cross_period,industry_research,high,medium,"douyin|xiaohongshu|taobao","快速美白|7天美白|28天焕白",risk_monitoring,high,"适合和违规宣称监控联动"
